id,model_score,model_risk_grade
46164551,512,F
65757119,504,G
38529136,532,D
46407945,528,D
60961966,519,E
53262433,528,D
78699353,518,E
43440150,530,D
56021179,541,C
62083191,518,E
90095497,532,D
138997199,568,A
75829174,520,E
62579711,538,C
96569496,530,D
121730106,523,E
49933163,502,G
40267451,545,B
72799946,542,C
65180543,520,E
88758750,512,F
95746225,519,E
59472096,548,B
116880576,516,E
69733311,532,D
136852384,547,B
58932247,512,F
42934641,543,B
125771034,521,E
57682421,527,D
102536194,543,B
96370298,523,E
50616470,535,C
85096383,531,D
115081181,559,A
84644371,531,D
102653433,559,A
59201843,562,A
143560512,512,F
97274164,551,B
92852187,546,B
99577802,524,D
63458266,516,E
56672849,534,C
72653364,517,E
66086240,540,C
96665550,548,B
66582058,555,A
70602551,511,F
43105854,519,E
100023153,540,C
96296996,552,B
94027347,517,E
135897825,514,F
46664415,516,E
51937647,496,G
73539973,532,D
134661611,535,C
38509159,527,D
60894255,524,D
74796393,531,D
88958385,536,C
40371532,538,C
63418273,543,B
43739463,546,B
77386309,529,D
133421179,541,C
101482717,512,F
61923210,550,B
81741162,512,F
68092271,525,D
84011924,506,F
48986687,547,B
93524475,507,F
55697370,533,D
61553915,508,F
91121158,516,E
99956253,574,A
111091132,523,E
65382445,549,B
108521756,531,D
69752767,570,A
57794009,524,D
91692872,565,A
38607253,519,E
115189016,529,D
128399231,560,A
76411703,520,E
54424136,536,C
67236703,549,B
88823693,504,G
122986786,560,A
55932513,497,G
91188937,542,C
130003271,530,D
90388406,522,E
135933313,515,E
96689122,502,G
42915625,518,E
73549121,521,E
111755136,533,D
86031864,537,C
113557750,530,D
74504115,540,C
54238732,524,D
58533100,538,C
41093091,504,G
57834251,542,C
74786044,501,G
93991562,529,D
40137648,540,C
57418185,540,C
119398523,521,E
84090614,534,C
133157493,531,D
131836297,540,C
84623306,514,F
38172443,509,F
89897275,509,F
43379662,520,E
61922454,559,A
49126315,499,G
61520253,522,E
66513985,527,D
72662329,537,C
134129133,530,D
137662151,531,D
53514930,505,F
73569471,544,B
46683776,545,B
70823624,534,C
88817714,534,C
58973520,515,E
90171801,495,G
73925361,522,E
133826234,523,E
83847762,496,G
66190721,527,D
97345752,530,D
103981296,499,G
55453258,547,B
77328735,519,E
106426782,563,A
88968167,532,D
66955515,505,F
124459773,544,B
45374882,515,E
60871792,540,C
116808957,521,E
40705510,516,E
67938418,511,F
96823535,509,F
57136421,527,D
121776594,535,C
75359456,526,D
38415119,521,E
61464956,553,B
125858600,552,B
97449680,525,D
43729239,537,C
72112750,530,D
61403453,559,A
67376209,532,D
38568213,521,E
94291676,568,A
73825823,511,F
85669037,508,F
92440244,504,G
99522494,556,A
100066438,537,C
130817138,533,D
70072590,546,B
55208975,539,C
54404219,538,C
55967115,520,E
39300476,519,E
38457821,535,C
75113159,496,G
50425717,562,A
122362866,544,B
85643311,527,D
51676481,536,C
16412302,539,C
83901218,511,F
127491889,526,D
54138506,520,E
51085971,535,C
61354751,529,D
85698982,526,D
83062156,529,D
58420370,497,G
71806771,494,G
71736502,549,B
119268315,497,G
86732591,529,D
75740663,531,D
129661654,543,B
56128930,503,G
57812879,520,E
70921152,510,F
110347946,512,F
145363685,529,D
73588644,542,C
60955203,508,F
57054976,534,C
142844535,498,G
93717025,510,F
69009905,496,G
64340604,531,D
92831907,502,G
50645940,518,E
128695468,495,G
85961720,509,F
68446345,518,E
94466741,521,E
79742995,544,B
60984105,518,E
84829968,513,F
72977625,538,C
46577344,519,E
68901685,537,C
43490776,493,G
103697904,527,D
44765320,538,C
60536270,523,E
63331044,518,E
111101129,547,B
95188450,514,F
